# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;TotComp
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=14)
"TotComp";"Cons.CloFoo";"Cons.RenDwe";"Cons.FurEqu";"Cons.RecCul";"Emp.TotalPer";"Emp.FtPer";"Gov.Nat";"RetSales";"Emp.JobVac";"AveComp";"Credit.Total";"Credit.Nar";"ExrateCNY";"SPASXAllOrds"
1.17050495;0.861283977;2.640340387;5.89863226;6.418810239;0.626024439;-2.37815086;-0.871836341;8.439879848;-5.933333333;-0.183408119;-1.167337581;-1.471588854;-102.9424056;-110.0872705
-1.23335614;11.09550662;2.753226304;-3.789134654;-3.272177981;0.082819437;-1.149196631;-9.110797128;9.720221025;-5.933333333;0.261985862;-5.227982334;-5.642220875;-7.831778565;-37.30014961
-1.174124954;16.27214751;2.883560549;9.406374047;6.305084437;-0.348698123;-2.133533616;-4.489575096;7.571974528;-5.933333333;-2.416767055;-0.316204452;0.309491395;65.17388567;43.9995494
5.922890318;-4.599895292;2.951750512;-12.77682724;-2.818567153;0.592111732;-2.709413699;2.885892924;-4.148195402;-5.933333333;6.481683804;1.460630683;1.429281694;35.93194142;63.13159716
6.246128545;0.187514653;2.910533982;10.27359801;1.881249793;2.176713548;1.373660315;2.512391019;6.613947523;-5.933333333;3.356157549;-1.33284067;-2.180147539;27.62795185;22.29309661
7.436181667;7.858555801;2.889508856;0.442886187;2.360390678;2.644848222;1.49127202;6.865977016;0;19.5;4.651809616;3.238731045;2.161879352;-5.060735042;-2.931014722
10.26972376;2.565285934;2.897755777;3.232934572;13.71324712;1.236820046;3.31957888;11.61059307;4.985336008;2;9.442336867;-1.182797217;-0.609177363;-10.52286762;-15.24467063
8.406843382;7.359580251;2.924847668;2.77120525;4.806085718;3.348790152;3.611754901;-0.385387424;4.115120836;8.1;5.104720801;0.163530614;-0.804872694;15.18220851;-0.858974852
8.31429886;-2.458225529;2.703713555;-0.339291144;7.639138468;3.49205564;3.73086173;10.77805122;-1.308045705;12.6;5.354832313;-0.357655;-0.436365831;21.05964094;19.36024269
7.946545432;-7.160385377;2.534207108;4.14861413;3.007384202;1.634021749;2.867966877;3.363719892;3.424538835;-1.7;5.522628094;1.47716325;1.823889918;7.384328182;12.30808195
7.024066561;3.171231735;2.396007541;3.963501658;10.13993529;-0.253796152;-1.034977557;3.39717916;2.505734297;-2;5.682586397;-1.738120626;-1.200004409;18.71291;-9.763010263
7.745000054;-7.727931258;2.297590337;6.22360504;1.285526949;1.348158909;0.761273417;-1.417130256;3.764582641;-4.1;5.556617693;1.057549702;0.00245636;-16.22247903;-41.2910808
3.983600993;4.189165041;2.32165778;1.494281448;-1.727781531;0.908897019;1.112234674;5.379906753;2.9812853;-4;2.956816421;0.926965075;0.93218112;-13.25688514;-8.885879677
9.161472121;10.1654238;2.345232261;-1.026718566;4.990146692;1.68889902;2.168300298;2.00463611;1.305264856;2.6;7.681804312;-0.637359486;-0.844326944;12.40721597;14.81674132
3.382444541;3.094793001;2.340750834;3.350415121;1.990101004;1.333770754;0.284870476;9.298391783;7.551000129;-3.7;0.225708165;1.474278152;1.533154327;-16.39677962;-12.29000639
-1.542204757;-4.771191204;2.299725741;-0.83497653;3.538680083;0.831940701;1.286091373;-17.90383775;2.543227038;-3.1;-3.854468098;-1.900443121;-2.066704331;11.49853022;9.260377305
3.9917162;1.317761;2.38648975;-1.581949253;-9.097762467;1.223611719;1.985388499;1.483142559;-0.228291077;-10.1;1.909203011;-1.227612179;-1.116168509;-8.068243322;20.43753182
1.224631839;4.164225593;2.309135396;12.52898845;2.312973877;1.816778289;-0.576945126;4.980621022;4.760865294;-15.1;0.702291121;0.880474173;0.88423602;-2.042231082;35.77120472
2.372727229;5.816361569;2.268947695;2.522246844;-4.793691426;0.436617076;-0.452827741;-2.26041075;1.758672695;-6.4;0.768839628;0.608609012;0.41072944;-28.43325275;-3.83936406
3.180801868;10.81769035;2.15793237;1.56836587;1.348034592;0.231504947;-0.286611728;11.66765109;4.233994097;-3.3;3.419208762;0.433794764;0.372630779;-30.00409674;13.77800279
4.25199754;8.815010395;2.226284744;2.007476471;3.902843283;0.048843173;-1.83450539;2.018032993;8.147526843;-1;4.14465298;0.60193835;0.642365222;0.526215202;18.02861555
2.377082606;-7.059006725;2.266947247;6.707272432;-0.323786414;1.366351782;0.722776864;4.445144362;7.291807886;4.4;1.46042094;0.312876864;0.302085255;-4.101220094;-1.59943676
2.297529167;-5.005041839;2.262952489;4.481961496;6.670127868;1.152598482;2.414821192;-3.927440675;1.28123847;3.4;0.904553487;0.3892875;0.28922927;21.63387906;7.495704367
3.647978833;5.174569284;2.162901099;6.438598077;3.581779366;1.10204181;0.453338751;1.872918053;5.249261294;-1;4.034458365;0.384987019;0.606713733;-14.09348203;5.303225907
0.527398089;3.991319744;2.220752267;8.134730596;8.79842613;1.316157987;0.936599686;-1.223039762;5.181265955;4.5;-1.814855383;0.619480492;0.234681094;-29.35690396;-8.621977198
